id_response;linha_produto;modulo;processo;subprocesso;requisito;resposta;observacao
14809;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Manter Cadastro Único de Fornecedor e Cliente (CNPJ) no ERP para todas as Empresas do Grupo utilizando o ERP como o “proprietário” (Golden records) da informação possibilitando sua distribuição de forma atualizada para demais sistemas;Atende;
14810;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Controlar os casos em que o mesmo CNPJ de Fornecedor tenha relações mútuas como Fornecedor e Cliente (Parceiro de Negócio).;Atende;Necesário melhor entendimento do que se trata a necessidade do que seriam relações multiplas.Respondemos como TOTAL pois entendemos que caso for processos de Remessa / Retorno etc. sistema faz a gestão porém a pergunta colocada é muito ampla.
14811;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Possibilitar o cadastro de pessoa física (CPF) como fornecedor;Atende;
14812;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Criar redundância de funcionários no Cadastro de FORNECEDORES (Pessoa Física) através de Interface com o Sistema de RH (Sem que o mesmo fique disponivel para realizar cotação);Atende;
14813;TOTVS Fluig;Fluig BPM;Cadastros;Cadastro de Fornecedores;Disponibilizar uma ferramenta WEB / Portal para que possibilite o pré-cadastro pelo próprio fornecedor com preenchimento de dados basicos tais como: CNPJ razão social endereço dados de contatos etc.;Atende Parcial;Criação de portal público para esta finalidade
14814;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Manter o Fornecedor bloqueado para cotações até sua homologação;Atende;
14815;TOTVS Fluig;Fluig BPM;Cadastros;Cadastro de Fornecedores;Por comando da área de Suprimentos enviar um LOGIN e SENHA PROVISÓRIA para complemento do cadastro (comerciais contábeis financeiros e fiscais) dos proponentes que sejam de interesse da Simpress;Atende Parcial;Vinculado ao requisito ID - 5. Necessário desenvolver e complementar.Possuímos um WF de automação de processos.para o cadastro do Fornecedor de acordo com as áreas envolvidas.
14816;TOTVS Fluig;Fluig BPM;Cadastros;Cadastro de Fornecedores;Permitir verificação através de integração se o CNPJ/CPF estão habilitados junto ao Governo (SRF e SINTEGRA);Atende;
14817;TOTVS Fluig;Fluig BPM;Cadastros;Cadastro de Fornecedores;Após análise das informações e documentos permitir registrar através de input manual a homologação do Fornecedor contendo basicamente: - Análise resumida da aderência do fornecedor aos critérios exigidos para o cadastramento. - Atendimento à legislação nos aspectos que tangem à sua regularidade para atuação nas Categorias escolhidas. - Comprovação do cumprimento das obrigações comerciais empregatícias e de contribuinte tributário.- Análise da situação financeira do fornecedor. - Check da documentação do fornecedor.- Análise da capacidade técnica operacional e produtiva de cada fornecedor.;Atende;O WF de cadastro permite anexar as documentações necessárias entra como um documento via GED.O ERP possui vários campos de acordo com a área ex: Contábil Fiscal etc. e a proporção que os WF for avançando a área responsável faz o complemento de informações.
14818;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Após o proponente obter a Homologação enviar um comunicado informando estar apto a participar de cotações;Atende Parcial;Necessário criar o Envio do comunicado
